,importance
neighbor_risk_score,0.10097706105369819
twd_deposit_count,0.04903084477606445
twd_tx_count,0.04752039469697411
crypto_max_amount,0.02401307279063747
shared_ip_degree,0.022571078368347597
swap_count,0.021726893855174012
sex,0.02046487924152307
swap_currency_total,0.019761372110365327
crypto_deposit_count,0.012782169136042243
n2v_53,0.010350484712900787
n2v_18,0.00970289257820156
n2v_71,0.00833772469159777
n2v_46,0.006972556804993757
n2v_63,0.006972556804993757
n2v_104,0.006972556804993757
n2v_22,0.006972556804993757
n2v_9,0.006954354566505727
n2v_20,0.006935785839994435
swap_twd_total,0.006730589020873867
twd_ip_count,0.006159607080028939
n2v_61,0.005589186679901825
n2v_112,0.005589186679901825
n2v_86,0.005589186679901825
income_source,0.005589186679901825
n2v_0,0.005589186679901714
n2v_50,0.005570617953390533
n2v_15,0.005552415714902392
level1_finished_at,0.005306083779162085
n2v_17,0.0042058165548097826
n2v_89,0.0042058165548097826
n2v_26,0.0042058165548097826
n2v_5,0.0042058165548097826
n2v_77,0.0042058165548097826
n2v_67,0.0042058165548097826
usdt_source_avg,0.0042058165548097826
n2v_10,0.004187247828298601
crypto_currency_count,0.004187247828298601
n2v_123,0.004187247828298601
usdt_total_amount,0.004187247828298601
n2v_44,0.004187247828298601
n2v_24,0.00418724782829849
n2v_13,0.00418724782829849
n2v_16,0.0039227136540700425
n2v_12,0.0039149888143176215
n2v_25,0.0033367842572061823
n2v_62,0.0030836205332850364
n2v_116,0.0028038777032065587
n2v_8,0.0028038777032065587
n2v_28,0.0028038777032065587
n2v_3,0.0028038777032065587
n2v_4,0.0028038777032065587
n2v_83,0.0028038777032065587
out_in_ratio,0.0028038777032065587
n2v_106,0.0028038777032065587
n2v_64,0.0028038777032065587
n2v_19,0.0028038777032065587
n2v_99,0.0027853089766952666
n2v_118,0.0027853089766952666
n2v_107,0.0027853089766952666
n2v_37,0.0027663638570790683
n2v_108,0.0027663638570790683
shared_ip_unique_count,0.002009418830558607
age,0.001986933914067124
twd_max_amount,0.001927211419061825
internal_tx_ratio,0.001927211419061825
level2_finished_at,0.001674047695140679
crypto_from_wallet_count,0.0014019388516032238
n2v_39,0.0014019388516032238
n2v_69,0.0014019388516032238
n2v_57,0.0014019388516032238
n2v_56,0.0014019388516032238
n2v_124,0.0014019388516032238
n2v_54,0.0014019388516032238
crypto_ip_count,0.0014019388516032238
n2v_52,0.0014019388516032238
n2v_72,0.0014019388516032238
n2v_48,0.0014019388516032238
n2v_45,0.0014019388516032238
n2v_43,0.0014019388516032238
n2v_121,0.0014019388516032238
n2v_88,0.0014019388516032238
usdt_market_ratio,0.0014019388516032238
n2v_34,0.0014019388516032238
n2v_97,0.0014019388516032238
n2v_66,0.0014019388516032238
crypto_avg_amount,0.0014019388516032238
n2v_110,0.0013829937319870256
crypto_total_amount,0.0013829937319870256
n2v_29,0.0013644250054757334
n2v_31,0.0013644250054757334
n2v_98,0.001174175642374209
n2v_78,0.0011556069158629168
n2v_33,0.0011556069158629168
n2v_73,0.0011447422354573522
usdt_buy_ratio,0.0011289369564942975
n2v_82,0.0009127377338774556
swap_twd_avg,0.0006759601678105742
n2v_103,0.0
n2v_111,0.0
n2v_87,0.0
n2v_76,0.0
n2v_122,0.0
n2v_95,0.0
n2v_120,0.0
n2v_70,0.0
n2v_100,0.0
n2v_68,0.0
n2v_92,0.0
n2v_81,0.0
n2v_126,0.0
n2v_115,0.0
n2v_42,0.0
account_tenure_days,0.0
user_source,0.0
crypto_to_wallet_count,0.0
n2v_35,0.0
n2v_60,0.0
swap_currency_avg,0.0
n2v_41,0.0
n2v_47,0.0
usdt_trade_count,0.0
career,0.0
n2v_49,0.0
n2v_51,0.0
n2v_55,0.0
usdt_std_amount,-1.894511961630929e-05
n2v_38,-1.894511961630929e-05
n2v_102,-1.894511961630929e-05
n2v_30,-1.894511961630929e-05
n2v_27,-1.894511961630929e-05
n2v_58,-7.579072045427182e-05
n2v_113,-0.00023862788963457948
n2v_14,-0.0014208839712195331
n2v_96,-0.0014208839712195331
n2v_1,-0.0014208839712195331
n2v_117,-0.0014208839712195331
n2v_114,-0.0014208839712195331
n2v_59,-0.0014398290908358424
night_tx_ratio,-0.0014591608455463145
n2v_90,-0.0016405667412379143
n2v_119,-0.001648647180448548
n2v_109,-0.0028417679424390663
n2v_2,-0.0028417679424390663
n2v_65,-0.0028417679424390663
n2v_32,-0.0028417679424390663
n2v_75,-0.0028417679424390663
n2v_94,-0.0028417679424390663
n2v_79,-0.0028417679424390663
n2v_80,-0.0028417679424390663
n2v_91,-0.0028417679424390663
n2v_6,-0.0030614507124574475
n2v_40,-0.0030723340790455023
n2v_11,-0.0032594041216646996
twd_avg_amount,-0.0032594041216646996
n2v_7,-0.004262651913658599
n2v_85,-0.0042819836683690715
n2v_74,-0.0042819836683690715
confirmed_at,-0.0042819836683690715
usdt_avg_amount,-0.0042819836683690715
n2v_23,-0.004463389564060671
usdt_max_amount,-0.004474272930648726
crypto_tx_count,-0.004474272930648726
n2v_127,-0.004907695702655035
twd_total_amount,-0.005702867639588605
n2v_36,-0.0058842735352803155
n2v_93,-0.005911685729201421
n2v_84,-0.0061148396718867515
n2v_105,-0.007143083365518721
n2v_21,-0.007316040873087792
crypto_relation_user_count,-0.007486950037285611
usdt_ip_count,-0.007714713246514626
n2v_125,-0.009146480584322325
n2v_101,-0.009209974741776206
usdt_buy_count,-0.010559284116331225
swap_kind_count,-0.011991051454138701
