user_id,send_count,receive_count,degree_diff,status
3,9.0,0.0,9.0,
158,0.0,1.0,-1.0,0.0
241,1.0,0.0,1.0,
323,0.0,1.0,-1.0,0.0
327,0.0,1.0,-1.0,0.0
334,6.0,3.0,3.0,0.0
381,0.0,1.0,-1.0,0.0
442,2.0,0.0,2.0,0.0
491,1.0,0.0,1.0,0.0
606,0.0,1.0,-1.0,0.0
640,1.0,0.0,1.0,0.0
674,0.0,1.0,-1.0,0.0
756,1.0,1.0,0.0,0.0
774,0.0,1.0,-1.0,0.0
813,1.0,0.0,1.0,
816,1.0,0.0,1.0,0.0
837,0.0,3.0,-3.0,0.0
1066,1.0,1.0,0.0,0.0
1158,8.0,1.0,7.0,0.0
1164,1.0,0.0,1.0,0.0
1221,0.0,1.0,-1.0,0.0
1239,0.0,1.0,-1.0,0.0
1284,0.0,2.0,-2.0,0.0
1339,0.0,1.0,-1.0,
1403,0.0,1.0,-1.0,0.0
1409,0.0,1.0,-1.0,0.0
1471,0.0,1.0,-1.0,0.0
1527,0.0,3.0,-3.0,0.0
1621,0.0,1.0,-1.0,0.0
1672,1.0,0.0,1.0,0.0
1681,9.0,3.0,6.0,
1718,1.0,1.0,0.0,
1765,0.0,1.0,-1.0,0.0
1987,1.0,0.0,1.0,
2043,0.0,2.0,-2.0,
2056,2.0,0.0,2.0,0.0
2186,1.0,1.0,0.0,0.0
2336,2.0,0.0,2.0,0.0
2438,0.0,4.0,-4.0,0.0
2459,0.0,1.0,-1.0,0.0
2513,5.0,0.0,5.0,0.0
2517,0.0,2.0,-2.0,0.0
2629,0.0,1.0,-1.0,0.0
2715,2.0,1.0,1.0,
2784,1.0,0.0,1.0,0.0
2846,0.0,2.0,-2.0,
2874,1.0,0.0,1.0,
2973,0.0,2.0,-2.0,
3026,1.0,1.0,0.0,0.0
3029,0.0,1.0,-1.0,0.0
3064,1.0,0.0,1.0,0.0
3273,3.0,0.0,3.0,0.0
3456,1.0,0.0,1.0,
3514,0.0,1.0,-1.0,0.0
3631,0.0,1.0,-1.0,
3859,1.0,0.0,1.0,0.0
3905,3.0,1.0,2.0,0.0
3931,1.0,0.0,1.0,0.0
3975,0.0,1.0,-1.0,0.0
4025,1.0,0.0,1.0,0.0
4045,1.0,0.0,1.0,
4076,0.0,1.0,-1.0,0.0
4154,0.0,1.0,-1.0,0.0
4175,0.0,1.0,-1.0,0.0
4234,13.0,0.0,13.0,
4419,1.0,0.0,1.0,0.0
4637,0.0,1.0,-1.0,
4649,1.0,0.0,1.0,0.0
5049,0.0,1.0,-1.0,0.0
5109,0.0,1.0,-1.0,0.0
5149,0.0,2.0,-2.0,0.0
5181,1.0,1.0,0.0,0.0
5236,0.0,1.0,-1.0,0.0
5324,0.0,1.0,-1.0,0.0
5457,0.0,1.0,-1.0,0.0
5500,0.0,3.0,-3.0,0.0
5583,0.0,1.0,-1.0,0.0
5601,1.0,0.0,1.0,0.0
5982,0.0,1.0,-1.0,0.0
6118,0.0,1.0,-1.0,0.0
6150,0.0,1.0,-1.0,0.0
6242,1.0,0.0,1.0,
6402,0.0,1.0,-1.0,0.0
6498,1.0,0.0,1.0,0.0
6573,0.0,1.0,-1.0,0.0
6627,1.0,0.0,1.0,0.0
6650,3.0,0.0,3.0,0.0
6789,1.0,0.0,1.0,0.0
6852,0.0,1.0,-1.0,0.0
7076,1.0,0.0,1.0,
7168,1.0,0.0,1.0,0.0
7206,0.0,1.0,-1.0,0.0
7318,2.0,12.0,-10.0,0.0
7334,0.0,1.0,-1.0,0.0
7579,0.0,2.0,-2.0,0.0
7762,1.0,0.0,1.0,0.0
7858,1.0,0.0,1.0,
